node,transistor,corner,voltage_offset_V,vdd_V,temperature_C,rows,cols,wd,toggle_rate,n_toggle_cols,pex,wr_same_energy_pJ,wr_toggle_energy_pJ,rd_1to1_energy_pJ,rd_1to0_energy_pJ,wr1_init_energy_pJ,wr0_fill_energy_pJ,leak_power_mW,rd_delay_ns,rd_bl_dev_ns,rd_sense_ns,wr_delay_ns,wr_bl_ns,wr_cell_ns,width_um,height_um,total_area_um2,flow_run_id,decoder_area_um2,macro_area_um2
7nm,hp,TT,0,0.75,85,8,4,4,1.0,4,1,0.01163,0.03009,0.01152,0.0164,0.02181,0.01633,0.0002992,0.03493,0.004493,-2.965,0.06763,0.05424,0.01339,1.176,5.626,6.6162,array_X4_8x4_tr1_v0.75_t85_20260718_063733,4.8223,11.4385
7nm,hp,TT,0.1,0.85,25,8,4,4,1.0,4,1,0.01024,0.03503,0.01035,0.01811,0.02125,0.01794,3.333e-05,0.03149,0.004247,-2.969,0.05949,0.0488,0.01069,1.176,5.626,6.6162,array_X4_8x4_tr1_v0.85_t25_20260718_063720,4.8223,11.4385
7nm,hp,TT,0.1,0.85,85,8,4,4,1.0,4,1,0.01506,0.03974,0.01483,0.02167,0.02857,0.02152,0.000369,0.03147,0.004031,-2.969,0.06373,0.05176,0.01197,1.176,5.626,6.6162,array_X4_8x4_tr1_v0.85_t85_20260718_063758,4.8223,11.4385
7nm,hp,TT,0,0.75,25,8,8,4,1.0,8,1,0.01583,0.05274,0.01606,0.02725,0.03155,0.02709,4.928e-05,0.03582,0.004817,-2.964,0.06323,0.05155,0.01168,2.352,5.626,13.2324,array_X4_8x8_tr1_v0.75_t25_20260718_022349,4.8223,18.0547
7nm,hp,TT,0,0.75,25,8,16,4,1.0,16,1,0.03172,0.1055,0.03216,0.05455,0.06315,0.05423,9.926e-05,0.03582,0.004817,-2.964,0.06326,0.05158,0.01168,4.704,5.626,26.4647,array_X4_8x16_tr1_v0.75_t25_20260718_022521,4.8223,31.287
7nm,hp,TT,0,0.75,25,8,32,4,1.0,32,1,0.06349,0.2111,0.06438,0.1091,0.1263,0.1085,0.0001991,0.03582,0.004813,-2.964,0.06323,0.05158,0.01165,9.408,5.626,52.9294,array_X4_8x32_tr1_v0.75_t25_20260718_022639,4.8223,57.7517
7nm,hp,TT,-0.1,0.65,25,8,64,4,1.0,64,1,0.09494,0.3071,0.09629,0.1604,0.1795,0.1594,0.0002948,0.0434,0.00551,-2.957,0.06978,0.05669,0.01309,18.816,5.626,105.8588,array_X4_8x64_tr1_v0.65_t25_20260718_063811,4.8223,110.6811
7nm,hp,TT,-0.1,0.65,85,8,64,4,1.0,64,1,0.1404,0.3538,0.1397,0.194,0.2557,0.1932,0.003816,0.04093,0.005111,-2.959,0.07419,0.05881,0.01538,18.816,5.626,105.8588,array_X4_8x64_tr1_v0.65_t85_20260718_064528,4.8223,110.6811
7nm,hp,TT,0,0.75,25,8,64,4,1.0,64,1,0.127,0.4223,0.1288,0.2184,0.2528,0.2171,0.0003998,0.03583,0.004811,-2.964,0.06336,0.05175,0.01161,18.816,5.626,105.8588,array_X4_8x64_tr1_v0.75_t25_20260718_022830,4.8223,110.6811
7nm,hp,TT,0,0.75,85,8,64,4,1.0,64,1,0.1867,0.4823,0.1848,0.263,0.3494,0.262,0.004791,0.03502,0.004495,-2.965,0.06775,0.05442,0.01333,18.816,5.626,105.8588,array_X4_8x64_tr1_v0.75_t85_20260718_064301,4.8223,110.6811
7nm,hp,TT,0.1,0.85,25,8,64,4,1.0,64,1,0.1646,0.5615,0.1664,0.2902,0.3403,0.2879,0.0005883,0.03161,0.004246,-2.968,0.05962,0.04897,0.01065,18.816,5.626,105.8588,array_X4_8x64_tr1_v0.85_t25_20260718_064027,4.8223,110.6811
7nm,hp,TT,0.1,0.85,85,8,64,4,1.0,64,1,0.2416,0.637,0.238,0.3479,0.4576,0.3455,0.005924,0.03158,0.004041,-2.968,0.06385,0.05194,0.01192,18.816,5.626,105.8588,array_X4_8x64_tr1_v0.85_t85_20260718_064757,4.8223,110.6811
7nm,hp,TT,0,0.75,25,16,4,4,1.0,4,1,0.01161,0.02976,0.01165,0.01736,0.01849,0.01736,4.249e-05,0.04471,0.006165,-2.955,0.07947,0.06906,0.01042,1.176,8.506,10.0031,array_X4_16x4_tr1_v0.75_t25_20260718_023103,7.1286,17.1317
7nm,hp,TT,0,0.75,25,16,8,4,0.5,4,1,0.0233,0.04139,0.02338,0.03478,0.03706,0.04719,8.506e-05,0.04453,0.006146,-2.955,0.07949,0.06909,0.0104,2.352,8.506,20.0061,array_X4_16x8_tr0.5_v0.75_t25_20260718_063222,7.1286,27.1347
7nm,hp,TT,-0.1,0.65,25,16,8,4,1.0,8,1,0.01741,0.04344,0.0175,0.02546,0.02667,0.0255,6.155e-05,0.05397,0.007117,-2.946,0.08734,0.07561,0.01173,2.352,8.506,20.0061,array_X4_16x8_tr1_v0.65_t25_20260718_045358,7.1286,27.1347
7nm,hp,TT,-0.1,0.65,55,16,8,4,1.0,8,1,0.0196,0.04585,0.01974,0.02727,0.03041,0.02728,0.000251,0.05254,0.006906,-2.947,0.08973,0.07723,0.0125,2.352,8.506,20.0061,array_X4_16x8_tr1_v0.65_t55_20260718_083658,7.1286,27.1347
7nm,hp,TT,-0.1,0.65,85,16,8,4,1.0,8,1,0.02688,0.05185,0.02688,0.0325,0.03985,0.03255,0.0008494,0.05089,0.006378,-2.949,0.09172,0.07838,0.01333,2.352,8.506,20.0061,array_X4_16x8_tr1_v0.65_t85_20260718_045608,7.1286,27.1347
7nm,hp,TT,-0.15,0.6,25,16,8,4,1.0,8,1,0.0148,0.03655,0.0149,0.02151,0.02222,0.02151,5.497e-05,0.06161,0.007828,-2.938,0.09369,0.08096,0.01273,2.352,8.506,20.0061,array_X4_16x8_tr1_v0.6_t25_20260718_090702,7.1286,27.1347
7nm,hp,TT,-0.15,0.6,85,16,8,4,1.0,8,1,0.02311,0.04386,0.02316,0.02755,0.03371,0.02766,0.000744,0.0566,0.006908,-2.943,0.0976,0.08308,0.01452,2.352,8.506,20.0061,array_X4_16x8_tr1_v0.6_t85_20260718_090735,7.1286,27.1347
7nm,hp,TT,0,0.75,25,16,8,4,1.0,8,1,0.0233,0.05958,0.02338,0.03477,0.03706,0.03479,8.506e-05,0.04453,0.006146,-2.955,0.07946,0.06906,0.0104,2.352,8.506,20.0061,array_X4_16x8_tr1_v0.75_t25_20260718_023158,7.1286,27.1347
7nm,hp,TT,0,0.75,55,16,8,4,1.0,8,1,0.02606,0.06285,0.02625,0.03725,0.04194,0.03722,0.0003194,0.04419,0.006012,-2.956,0.08209,0.07106,0.01103,2.352,8.506,20.0061,array_X4_16x8_tr1_v0.75_t55_20260718_083735,7.1286,27.1347
7nm,hp,TT,0,0.75,85,16,8,4,1.0,8,1,0.03538,0.07044,0.03526,0.04401,0.05392,0.04401,0.001065,0.04361,0.005632,-2.956,0.08424,0.07258,0.01166,2.352,8.506,20.0061,array_X4_16x8_tr1_v0.75_t85_20260718_045713,7.1286,27.1347
7nm,hp,TT,-0.05,0.7,25,16,8,4,1.0,8,1,0.02024,0.05111,0.02032,0.02992,0.03164,0.02987,7.918e-05,0.04851,0.006569,-2.951,0.08278,0.0718,0.01098,2.352,8.506,20.0061,array_X4_16x8_tr1_v0.7_t25_20260718_045434,7.1286,27.1347
7nm,hp,TT,-0.05,0.7,85,16,8,4,1.0,8,1,0.03098,0.0607,0.03089,0.03792,0.04659,0.038,0.0009544,0.04672,0.005962,-2.953,0.08752,0.0751,0.01242,2.352,8.506,20.0061,array_X4_16x8_tr1_v0.7_t85_20260718_045639,7.1286,27.1347
7nm,hp,TT,0.1,0.85,25,16,8,4,1.0,8,1,0.03012,0.0793,0.03029,0.04632,0.04951,0.04622,0.0001244,0.0393,0.005487,-2.961,0.0748,0.06526,0.009542,2.352,8.506,20.0061,array_X4_16x8_tr1_v0.85_t25_20260718_045537,7.1286,27.1347
7nm,hp,TT,0.1,0.85,55,16,8,4,1.0,8,1,0.03362,0.08342,0.03383,0.0496,0.05565,0.04948,0.0004099,0.03948,0.005397,-2.961,0.07763,0.06759,0.01005,2.352,8.506,20.0061,array_X4_16x8_tr1_v0.85_t55_20260718_083811,7.1286,27.1347
7nm,hp,TT,0.1,0.85,85,16,8,4,1.0,8,1,0.04532,0.09286,0.04502,0.05812,0.07037,0.05798,0.00132,0.03935,0.005105,-2.961,0.07982,0.06931,0.01051,2.352,8.506,20.0061,array_X4_16x8_tr1_v0.85_t85_20260718_045825,7.1286,27.1347
7nm,hp,TT,0.05,0.8,25,16,8,4,1.0,8,1,0.02657,0.06898,0.02671,0.04031,0.04299,0.04025,0.0001115,0.04155,0.005789,-2.958,0.07688,0.06695,0.009928,2.352,8.506,20.0061,array_X4_16x8_tr1_v0.8_t25_20260718_045507,7.1286,27.1347
7nm,hp,TT,0.05,0.8,85,16,8,4,1.0,8,1,0.04018,0.08118,0.03994,0.0507,0.0618,0.05069,0.001188,0.04122,0.005346,-2.959,0.08185,0.07081,0.01104,2.352,8.506,20.0061,array_X4_16x8_tr1_v0.8_t85_20260718_045752,7.1286,27.1347
7nm,hp,TT,0.15,0.9,25,16,8,4,1.0,8,1,0.03386,0.09049,0.0341,0.05294,0.05649,0.05279,0.000141,0.03754,0.005237,-2.962,0.07343,0.06422,0.009209,2.352,8.506,20.0061,array_X4_16x8_tr1_v0.9_t25_20260718_090809,7.1286,27.1347
7nm,hp,TT,0.15,0.9,85,16,8,4,1.0,8,1,0.0509,0.1056,0.05056,0.06634,0.07947,0.06598,0.001461,0.03785,0.004887,-2.962,0.07832,0.06825,0.01006,2.352,8.506,20.0061,array_X4_16x8_tr1_v0.9_t85_20260718_090843,7.1286,27.1347
7nm,hp,TT,0,0.75,25,16,16,4,1.0,16,1,0.04666,0.1192,0.04681,0.06961,0.07418,0.06964,0.0001695,0.04454,0.006146,-2.955,0.07946,0.06906,0.0104,4.704,8.506,40.0122,array_X4_16x16_tr1_v0.75_t25_20260718_023334,7.1286,47.1408
7nm,hp,TT,0,0.75,25,16,32,4,1.0,32,1,0.09341,0.2386,0.0937,0.1392,0.1484,0.1393,0.0003376,0.04472,0.006162,-2.955,0.07946,0.06907,0.0104,9.408,8.506,80.0244,array_X4_16x32_tr1_v0.75_t25_20260718_023521,7.1286,87.153
7nm,hp,TT,0,0.75,25,16,64,4,1.0,64,1,0.1869,0.4772,0.1876,0.2786,0.2969,0.2788,0.0006754,0.04472,0.006161,-2.955,0.07965,0.06928,0.01037,18.816,8.506,160.0489,array_X4_16x64_tr1_v0.75_t25_20260718_023823,7.1286,167.1775
7nm,hp,TT,0,0.75,25,32,4,4,1.0,4,1,0.01897,0.03709,0.01897,0.02491,0.02491,0.02497,8.432e-05,0.06143,0.008904,-2.939,0.1139,0.1045,0.009364,1.176,14.266,16.7768,array_X4_32x4_tr1_v0.75_t25_20260718_024055,22.0631,38.8399
7nm,hp,TT,0,0.75,25,32,8,4,1.0,8,1,0.03806,0.0743,0.03806,0.04993,0.04994,0.05005,0.0001658,0.06118,0.008879,-2.939,0.1139,0.1045,0.009364,2.352,14.266,33.5536,array_X4_32x8_tr1_v0.75_t25_20260718_024324,22.0631,55.6167
7nm,hp,TT,0,0.75,25,32,16,4,1.0,16,1,0.07624,0.1488,0.07623,0.09992,0.09999,0.1002,0.0003296,0.06144,0.008908,-2.939,0.1139,0.1045,0.009376,4.704,14.266,67.1073,array_X4_32x16_tr1_v0.75_t25_20260718_024458,22.0631,89.1704
7nm,hp,TT,0,0.75,25,32,32,4,1.0,32,1,0.1526,0.2977,0.1526,0.2,0.2001,0.2005,0.0006555,0.06144,0.008905,-2.939,0.1136,0.1042,0.009385,9.408,14.266,134.2145,array_X4_32x32_tr1_v0.75_t25_20260718_024753,22.0631,156.2776
7nm,hp,TT,0,0.75,25,32,64,4,1.0,64,1,0.3054,0.5955,0.3054,0.4001,0.4004,0.4011,0.001305,0.06144,0.008904,-2.939,0.1141,0.1047,0.009365,18.816,14.266,268.4291,array_X4_32x64_tr1_v0.75_t25_20260718_025115,22.0631,290.4922
7nm,hp,TT,0,0.75,25,64,4,8,1.0,4,1,0.0347,0.05936,0.03447,0.041,0.04033,0.04076,0.0001664,0.09496,0.01485,-2.905,0.1045,0.09583,0.008695,1.176,27.514,32.3565,array_X8_64x4_tr1_v0.75_t25_20260718_025457,81.6077,113.9642
7nm,hp,TT,0,0.75,25,64,8,8,1.0,8,1,0.06965,0.1189,0.06915,0.08225,0.08089,0.08173,0.0003335,0.09495,0.01485,-2.905,0.1047,0.09601,0.008703,2.352,27.514,64.7129,array_X8_64x8_tr1_v0.75_t25_20260718_025911,81.6077,146.3206
7nm,hp,TT,0,0.75,25,64,16,8,0.5,8,1,0.1395,0.1887,0.1386,0.1646,0.162,0.2009,0.0006656,0.09433,0.01477,-2.906,0.1045,0.09583,0.008711,4.704,27.514,129.4259,array_X8_64x16_tr0.5_v0.75_t25_20260718_063250,81.6077,211.0336
7nm,hp,TT,-0.1,0.65,25,64,16,8,1.0,16,1,0.1046,0.1752,0.1036,0.12,0.1204,0.1202,0.0004676,0.114,0.01722,-2.886,0.1134,0.1037,0.009762,4.704,27.514,129.4259,array_X8_64x16_tr1_v0.65_t25_20260718_045858,81.6077,211.0336
7nm,hp,TT,-0.1,0.65,55,64,16,8,1.0,16,1,0.12,0.1878,0.1199,0.1322,0.1371,0.132,0.001837,0.1113,0.01656,-2.889,0.1162,0.106,0.01017,4.704,27.514,129.4259,array_X8_64x16_tr1_v0.65_t55_20260718_083846,81.6077,211.0336
7nm,hp,TT,-0.15,0.6,25,64,16,8,1.0,16,1,0.08905,0.1481,0.08825,0.1012,0.1021,0.1017,0.0004011,0.1304,0.01906,-2.87,0.1214,0.1108,0.01054,4.704,27.514,129.4259,array_X8_64x16_tr1_v0.6_t25_20260718_090920,81.6077,211.0336
7nm,hp,TT,0,0.75,25,64,16,8,1.0,16,1,0.1395,0.2381,0.1386,0.1646,0.162,0.1637,0.0006656,0.09434,0.01477,-2.906,0.1045,0.09584,0.008711,4.704,27.514,129.4259,array_X8_64x16_tr1_v0.75_t25_20260718_030202,81.6077,211.0336
7nm,hp,TT,0,0.75,55,64,16,8,1.0,16,1,0.1594,0.2548,0.1589,0.1809,0.1828,0.1791,0.002383,0.09389,0.01436,-2.906,0.1069,0.09783,0.009079,4.704,27.514,129.4259,array_X8_64x16_tr1_v0.75_t55_20260718_084048,81.6077,211.0336
7nm,hp,TT,0,0.75,85,64,16,8,1.0,16,1,0.2224,0.3024,0.2229,0.2275,0.25,0.2254,0.007873,0.09217,0.01281,-2.908,0.109,0.09953,0.009458,4.704,27.514,129.4259,array_X8_64x16_tr1_v0.75_t85_20260718_051509,81.6077,211.0336
7nm,hp,TT,-0.05,0.7,25,64,16,8,1.0,16,1,0.1213,0.2053,0.1204,0.1412,0.1405,0.141,0.0005598,0.1026,0.01585,-2.897,0.1084,0.09918,0.009173,4.704,27.514,129.4259,array_X8_64x16_tr1_v0.7_t25_20260718_050321,81.6077,211.0336
7nm,hp,TT,-0.05,0.7,85,64,16,8,1.0,16,1,0.1956,0.262,0.1961,0.1963,0.2187,0.1955,0.007031,0.09858,0.01355,-2.901,0.1135,0.1035,0.009966,4.704,27.514,129.4259,array_X8_64x16_tr1_v0.7_t85_20260718_051209,81.6077,211.0336
7nm,hp,TT,0.1,0.85,25,64,16,8,1.0,16,1,0.1801,0.3145,0.1791,0.2202,0.2107,0.2164,0.0009314,0.0837,0.0132,-2.916,0.09872,0.09068,0.008038,4.704,27.514,129.4259,array_X8_64x16_tr1_v0.85_t25_20260718_050741,81.6077,211.0336
7nm,hp,TT,0.1,0.85,55,64,16,8,1.0,16,1,0.2044,0.336,0.2047,0.2419,0.2365,0.2364,0.003053,0.08412,0.01292,-2.916,0.1016,0.09324,0.008359,4.704,27.514,129.4259,array_X8_64x16_tr1_v0.85_t55_20260718_084311,81.6077,211.0336
7nm,hp,TT,0.1,0.85,85,64,16,8,1.0,16,1,0.2815,0.395,0.2828,0.3005,0.3199,0.2937,0.009744,0.08338,0.01168,-2.917,0.1041,0.09539,0.008669,4.704,27.514,129.4259,array_X8_64x16_tr1_v0.85_t85_20260718_051941,81.6077,211.0336
7nm,hp,TT,0.05,0.8,25,64,16,8,1.0,16,1,0.1595,0.2746,0.1581,0.1909,0.1853,0.1887,0.0007886,0.0883,0.0139,-2.912,0.1015,0.09315,0.008347,4.704,27.514,129.4259,array_X8_64x16_tr1_v0.8_t25_20260718_050601,81.6077,211.0336
7nm,hp,TT,0.05,0.8,85,64,16,8,1.0,16,1,0.2508,0.3466,0.2519,0.2622,0.2835,0.258,0.008771,0.08725,0.0122,-2.913,0.1063,0.0973,0.009028,4.704,27.514,129.4259,array_X8_64x16_tr1_v0.8_t85_20260718_051635,81.6077,211.0336
7nm,hp,TT,0.15,0.9,25,64,16,8,1.0,16,1,0.2025,0.3579,0.2019,0.2529,0.2374,0.2468,0.001097,0.08016,0.01261,-2.92,0.09688,0.08911,0.007777,4.704,27.514,129.4259,array_X8_64x16_tr1_v0.9_t25_20260718_091357,81.6077,211.0336
7nm,hp,TT,0.15,0.9,85,64,16,8,1.0,16,1,0.3144,0.4472,0.3164,0.343,0.3586,0.3327,0.01078,0.08031,0.01124,-2.92,0.1024,0.09401,0.008356,4.704,27.514,129.4259,array_X8_64x16_tr1_v0.9_t85_20260718_091719,81.6077,211.0336
7nm,hp,TT,0,0.75,25,64,32,8,1.0,32,1,0.2793,0.4765,0.2774,0.3293,0.3243,0.3274,0.001335,0.09494,0.01485,-2.905,0.1042,0.09552,0.008699,9.408,27.514,258.8517,array_X8_64x32_tr1_v0.75_t25_20260718_030653,81.6077,340.4594
7nm,hp,TT,0,0.75,25,64,64,8,1.0,64,1,0.5594,0.9538,0.5552,0.6596,0.6493,0.655,0.002639,0.09435,0.01477,-2.906,0.1044,0.09563,0.008727,18.816,27.514,517.7034,array_X8_64x64_tr1_v0.75_t25_20260718_031110,81.6077,599.3111
7nm,hp,TT,0,0.75,25,128,4,16,1.0,4,1,0.06608,0.1043,0.06542,0.07338,0.07165,0.07252,0.0003264,0.1565,0.02701,-2.843,0.1131,0.1047,0.008441,1.176,54.01,63.5158,array_X16_128x4_tr1_v0.75_t25_20260718_031830,301.6742,365.19
7nm,hp,TT,0,0.75,25,128,8,16,1.0,8,1,0.1326,0.209,0.1313,0.1472,0.1437,0.1455,0.0006534,0.1567,0.02712,-2.843,0.1128,0.1044,0.008442,2.352,54.01,127.0315,array_X16_128x8_tr1_v0.75_t25_20260718_032103,301.6742,428.7057
7nm,hp,TT,0,0.75,25,128,16,16,1.0,16,1,0.2658,0.4184,0.2631,0.2947,0.2879,0.2914,0.001306,0.1559,0.02699,-2.844,0.1128,0.1044,0.008451,4.704,54.01,254.063,array_X16_128x16_tr1_v0.75_t25_20260718_032542,301.6742,555.7372
7nm,hp,TT,0,0.75,25,128,32,16,1.0,32,1,0.5323,0.8361,0.527,0.5896,0.5767,0.5828,0.00262,0.1566,0.02712,-2.843,0.1133,0.1049,0.008453,9.408,54.01,508.1261,array_X16_128x32_tr1_v0.75_t25_20260718_033221,301.6742,809.8003
7nm,hp,TT,-0.1,0.65,25,128,64,16,1.0,64,1,0.7924,1.24,0.7827,0.8653,0.7928,0.864,0.003743,0.1888,0.03192,-2.811,0.1208,0.1113,0.009455,18.816,54.01,1016.2522,array_X16_128x64_tr1_v0.65_t25_20260718_070659,301.6742,1317.9264
7nm,hp,TT,-0.1,0.65,85,128,64,16,1.0,64,1,1.245,1.69,1.237,1.322,1.246,1.307,0.04968,0.1797,0.03134,-2.82,0.1256,0.1153,0.01022,18.816,54.01,1016.2522,array_X16_128x64_tr1_v0.65_t85_20260718_072614,301.6742,1317.9264
7nm,hp,TT,0,0.75,25,128,64,16,1.0,64,1,1.057,1.68,1.047,1.189,1.058,1.174,0.005241,0.1568,0.02745,-2.843,0.1129,0.1045,0.008448,18.816,54.01,1016.2522,array_X16_128x64_tr1_v0.75_t25_20260718_034115,301.6742,1317.9264
7nm,hp,TT,0,0.75,85,128,64,16,1.0,64,1,1.623,2.252,1.615,1.776,1.623,1.734,0.06249,0.1546,0.02742,-2.845,0.119,0.1099,0.009127,18.816,54.01,1016.2522,array_X16_128x64_tr1_v0.75_t85_20260718_072001,301.6742,1317.9264
7nm,hp,TT,0.1,0.85,25,128,64,16,1.0,64,1,1.365,2.21,1.355,1.594,1.366,1.548,0.007343,0.1395,0.02463,-2.861,0.1096,0.1018,0.007806,18.816,54.01,1016.2522,array_X16_128x64_tr1_v0.85_t25_20260718_071234,301.6742,1317.9264
7nm,hp,TT,0.1,0.85,85,128,64,16,1.0,64,1,2.056,2.923,2.053,2.336,2.056,2.244,0.07737,0.1399,0.02489,-2.86,0.1151,0.1067,0.008394,18.816,54.01,1016.2522,array_X16_128x64_tr1_v0.85_t85_20260718_073325,301.6742,1317.9264
7nm,hp,TT,-0.1,0.65,25,256,4,32,1.0,4,1,0.09638,0.1433,0.09533,0.1004,0.1003,0.1001,0.0004665,0.3181,0.06068,-2.682,0.1928,0.1835,0.009269,1.176,107.002,125.8344,array_X32_256x4_tr1_v0.65_t25_20260718_064803,1158.3936,1284.228
7nm,hp,TT,0,0.75,25,256,4,32,1.0,4,1,0.1285,0.1938,0.1272,0.1384,0.1341,0.1357,0.0006513,0.2634,0.05242,-2.737,0.1884,0.1801,0.00829,1.176,107.002,125.8344,array_X32_256x4_tr1_v0.75_t25_20260718_034615,1158.3936,1284.228
7nm,hp,TT,0.1,0.85,25,256,4,32,1.0,4,1,0.1659,0.2542,0.1645,0.1864,0.1734,0.1785,0.0009131,0.2339,0.0473,-2.766,0.1862,0.1785,0.007657,1.176,107.002,125.8344,array_X32_256x4_tr1_v0.85_t25_20260718_065049,1158.3936,1284.228
7nm,hp,TT,0.1,0.85,85,256,4,32,1.0,4,1,0.2636,0.328,0.2627,0.264,0.2715,0.2509,0.009632,0.2294,0.04016,-2.771,0.1894,0.1812,0.008213,1.176,107.002,125.8344,array_X32_256x4_tr1_v0.85_t85_20260718_070258,1158.3936,1284.228
7nm,hp,TT,0,0.75,25,256,8,32,1.0,8,1,0.258,0.3884,0.2553,0.2776,0.2692,0.2722,0.001303,0.2634,0.05243,-2.737,0.1884,0.1801,0.00829,2.352,107.002,251.6687,array_X32_256x8_tr1_v0.75_t25_20260718_035435,1158.3936,1410.0623
7nm,hp,TT,0,0.75,25,256,16,32,1.0,16,1,0.5174,0.7765,0.5121,0.5563,0.5398,0.5451,0.002611,0.2621,0.0522,-2.738,0.1886,0.1802,0.008308,4.704,107.002,503.3374,array_X32_256x16_tr1_v0.75_t25_20260718_040238,1158.3936,1661.731
7nm,hp,TT,0,0.75,25,256,32,32,0.5,16,1,1.028,1.294,1.017,1.121,1.029,1.33,0.005222,0.2639,0.05318,-2.736,0.1897,0.1814,0.008296,9.408,107.002,1006.6748,array_X32_256x32_tr0.5_v0.75_t25_20260718_063605,1158.3936,2165.0684
7nm,hp,TT,-0.1,0.65,25,256,32,32,1.0,32,1,0.7713,1.155,0.7615,0.8137,0.771,0.8111,0.003729,0.3187,0.06167,-2.681,0.1946,0.1853,0.009273,9.408,107.002,1006.6748,array_X32_256x32_tr1_v0.65_t25_20260718_052104,1158.3936,2165.0684
7nm,hp,TT,-0.1,0.65,55,256,32,32,1.0,32,1,0.876,1.263,0.8664,0.9257,0.8756,0.9163,0.01456,0.3124,0.06168,-2.688,0.1965,0.1869,0.009626,9.408,107.002,1006.6748,array_X32_256x32_tr1_v0.65_t55_20260718_084525,1158.3936,2165.0684
7nm,hp,TT,-0.1,0.65,85,256,32,32,1.0,32,1,1.219,1.596,1.205,1.264,1.218,1.248,0.04949,0.3022,0.06057,-2.698,0.1969,0.1868,0.01002,9.408,107.002,1006.6748,array_X32_256x32_tr1_v0.65_t85_20260718_055221,1158.3936,2165.0684
7nm,hp,TT,-0.15,0.6,25,256,32,32,1.0,32,1,0.6562,0.9788,0.6486,0.6853,0.6566,0.6875,0.003153,0.365,0.06809,-2.635,0.1973,0.1873,0.009983,9.408,107.002,1006.6748,array_X32_256x32_tr1_v0.6_t25_20260718_091840,1158.3936,2165.0684
7nm,hp,TT,-0.15,0.6,85,256,32,32,1.0,32,1,1.054,1.368,1.042,1.078,1.054,1.072,0.04378,0.3362,0.06585,-2.664,0.2014,0.1907,0.01075,9.408,107.002,1006.6748,array_X32_256x32_tr1_v0.6_t85_20260718_092523,1158.3936,2165.0684
7nm,hp,TT,0,0.75,25,256,32,32,1.0,32,1,1.028,1.561,1.017,1.121,1.029,1.099,0.005222,0.2639,0.05319,-2.736,0.1892,0.1809,0.008301,9.408,107.002,1006.6748,array_X32_256x32_tr1_v0.75_t25_20260718_041136,1158.3936,2165.0684
7nm,hp,TT,0,0.75,55,256,32,32,1.0,32,1,1.161,1.702,1.15,1.271,1.161,1.234,0.01883,0.2636,0.05366,-2.736,0.1919,0.1833,0.008628,9.408,107.002,1006.6748,array_X32_256x32_tr1_v0.75_t55_20260718_085121,1158.3936,2165.0684
7nm,hp,TT,0,0.75,85,256,32,32,1.0,32,1,1.586,2.121,1.572,1.7,1.586,1.65,0.06225,0.2591,0.05324,-2.741,0.1926,0.1837,0.008945,9.408,107.002,1006.6748,array_X32_256x32_tr1_v0.75_t85_20260718_060825,1158.3936,2165.0684
7nm,hp,TT,-0.05,0.7,25,256,32,32,1.0,32,1,0.8948,1.35,0.8843,0.958,0.8951,0.948,0.004412,0.2868,0.05687,-2.713,0.1912,0.1825,0.00873,9.408,107.002,1006.6748,array_X32_256x32_tr1_v0.7_t25_20260718_052753,1158.3936,2165.0684
7nm,hp,TT,-0.05,0.7,85,256,32,32,1.0,32,1,1.396,1.847,1.382,1.47,1.395,1.44,0.05564,0.2776,0.05645,-2.722,0.1947,0.1853,0.009424,9.408,107.002,1006.6748,array_X32_256x32_tr1_v0.7_t85_20260718_060043,1158.3936,2165.0684
7nm,hp,TT,0.1,0.85,25,256,32,32,1.0,32,1,1.327,2.048,1.314,1.508,1.327,1.444,0.007316,0.2342,0.04797,-2.766,0.1864,0.1788,0.007669,9.408,107.002,1006.6748,array_X32_256x32_tr1_v0.85_t25_20260718_054343,1158.3936,2165.0684
7nm,hp,TT,0.1,0.85,55,256,32,32,1.0,32,1,1.491,2.226,1.48,1.705,1.491,1.616,0.02413,0.2359,0.04864,-2.764,0.1889,0.1809,0.007959,9.408,107.002,1006.6748,array_X32_256x32_tr1_v0.85_t55_20260718_090055,1158.3936,2165.0684
7nm,hp,TT,0.1,0.85,85,256,32,32,1.0,32,1,2.01,2.745,1.999,2.241,2.01,2.128,0.07707,0.234,0.04857,-2.766,0.1905,0.1823,0.008233,9.408,107.002,1006.6748,array_X32_256x32_tr1_v0.85_t85_20260718_062353,1158.3936,2165.0684
7nm,hp,TT,0.05,0.8,25,256,32,32,1.0,32,1,1.172,1.794,1.161,1.303,1.173,1.263,0.006181,0.247,0.05032,-2.753,0.1872,0.1793,0.007957,9.408,107.002,1006.6748,array_X32_256x32_tr1_v0.8_t25_20260718_053605,1158.3936,2165.0684
7nm,hp,TT,0.05,0.8,85,256,32,32,1.0,32,1,1.791,2.418,1.777,1.957,1.791,1.879,0.06938,0.245,0.05066,-2.755,0.1922,0.1837,0.008563,9.408,107.002,1006.6748,array_X32_256x32_tr1_v0.8_t85_20260718_061621,1158.3936,2165.0684
7nm,hp,TT,0.15,0.9,25,256,32,32,1.0,32,1,1.492,2.324,1.482,1.738,1.492,1.641,0.008652,0.2243,0.04605,-2.776,0.1865,0.1791,0.007426,9.408,107.002,1006.6748,array_X32_256x32_tr1_v0.9_t25_20260718_093311,1158.3936,2165.0684
