node,transistor,corner,voltage_offset_V,vdd_V,temperature_C,rows,cols,pex,dec_act_energy_pJ,dec_flip_energy_pJ,dec_idle_energy_pJ,dec_leak_power_mW,dec_clk_wl_ns,dec_wlen_wl_ns,dec_wl_rise_ns,wl_cap_fF,wl_res_ohm,dec_width_um,dec_height_um,dec_area_um2,dec_util,clk_ns,flow_run_id
7nm,hp,TT,0,0.75,25,128,32,1,0.069355,0.097255,0.0157,0.0001188,2.089,0.08938,0.04496,4.67691,2662.423,4.032,54.18,218.4538,0.0912,10,dec_128x32_v0.75_t25_20260715_142840
7nm,hp,TT,0,0.75,25,128,64,1,0.07201,0.099835,0.0157,0.0001187,2.117,0.1166,0.1024,9.32328,5340.073,4.032,54.18,218.4538,0.0912,10,dec_128x64_v0.75_t25_20260715_144714
7nm,hp,TT,0,0.75,25,256,4,1,0.1277,0.2038,0.01915,0.0002246,2.037,0.03665,0.04574,0.59348,319.48,8.576,107.1,918.4896,0.0457,10,dec_256x4_v0.75_t25_20260715_145459
7nm,hp,TT,0,0.75,25,256,8,1,0.124,0.2015,0.01915,0.000226,2.092,0.09185,0.04444,1.18045,654.186,8.576,107.1,918.4896,0.0458,10,dec_256x8_v0.75_t25_20260715_150824
7nm,hp,TT,0,0.75,25,256,16,1,0.1247,0.20215,0.01915,0.000226,2.097,0.097,0.05332,2.35424,1323.599,8.576,107.1,918.4896,0.0458,10,dec_256x16_v0.75_t25_20260715_152302
7nm,hp,TT,-0.1,0.65,25,256,32,1,0.09399,0.15055,0.01409,0.000139,2.116,0.1156,0.08361,4.67682,2662.423,8.576,107.1,918.4896,0.0458,10,dec_256x32_v0.65_t25_20260715_173122
7nm,hp,TT,-0.1,0.65,85,256,32,1,0.11155,0.1693,0.02911,0.001735,2.106,0.1062,0.08091,4.67682,2662.423,8.576,107.1,918.4896,0.0458,10,dec_256x32_v0.65_t85_20260715_181943
7nm,hp,TT,-0.05,0.7,25,256,32,1,0.1099,0.176,0.01644,0.0001742,2.105,0.1049,0.07903,4.67682,2662.423,8.576,107.1,918.4896,0.0458,10,dec_256x32_v0.7_t25_20260715_174310
7nm,hp,TT,-0.05,0.7,85,256,32,1,0.1297,0.19725,0.03337,0.001961,2.098,0.09812,0.07791,4.67682,2662.423,8.576,107.1,918.4896,0.0458,10,dec_256x32_v0.7_t85_20260715_183146
7nm,hp,TT,0,0.75,25,256,32,1,0.12725,0.2038,0.01916,0.0002246,2.097,0.09676,0.07472,4.67682,2662.423,8.576,107.1,918.4896,0.0458,10,dec_256x32_v0.75_t25_20260715_154336
7nm,hp,TT,0,0.75,85,256,32,1,0.1495,0.22785,0.03805,0.002211,2.092,0.09184,0.07473,4.67682,2662.423,8.576,107.1,918.4896,0.0458,10,dec_256x32_v0.75_t85_20260715_184347
7nm,hp,TT,0.05,0.8,25,256,32,1,0.14615,0.23395,0.02214,0.0002859,2.09,0.0905,0.07208,4.67682,2662.423,8.576,107.1,918.4896,0.0458,10,dec_256x32_v0.8_t25_20260715_175500
7nm,hp,TT,0.05,0.8,85,256,32,1,0.17095,0.26105,0.04319,0.002488,2.087,0.08696,0.07274,4.67682,2662.423,8.576,107.1,918.4896,0.0458,10,dec_256x32_v0.8_t85_20260715_185552
7nm,hp,TT,0.1,0.85,25,256,32,1,0.16655,0.2667,0.02546,0.0003607,2.086,0.08568,0.07021,4.67682,2662.423,8.576,107.1,918.4896,0.0458,10,dec_256x32_v0.85_t25_20260715_180735
7nm,hp,TT,0.1,0.85,85,256,32,1,0.19425,0.297,0.04886,0.002795,2.083,0.08308,0.07131,4.67682,2662.423,8.576,107.1,918.4896,0.0458,10,dec_256x32_v0.85_t85_20260715_190755
7nm,hp,TT,0,0.75,25,512,4,1,0.2544,0.34375,0.02346,0.000414,2.152,0.152,0.04975,0.59349,319.48,14.912,213.192,3179.1191,0.0229,10,dec_512x4_v0.75_t25_20260715_155600
7nm,hp,TT,0,0.75,25,512,8,1,0.2598,0.34835,0.02347,0.0004121,2.129,0.1287,0.07479,1.18043,654.186,14.912,213.192,3179.1191,0.0229,10,dec_512x8_v0.75_t25_20260715_161203
7nm,hp,TT,0,0.75,25,512,16,1,0.2557,0.3416,0.02341,0.0004132,2.129,0.129,0.07596,2.35414,1323.599,14.912,213.192,3179.1191,0.0229,10,dec_512x16_v0.75_t25_20260715_163727
5nm,hp,TT,0,0.7,25,8,4,1,0.01278,0.01819,0.005933,1.08e-05,2.021,0.02065,0.008524,0.40128,360.319,0.75,4.032,3.024,0.425,10,dec_8x4_v0.7_t25_20260715_121028
5nm,hp,TT,0,0.7,25,8,8,1,0.01299,0.018395,0.005933,1.08e-05,2.023,0.02281,0.01096,0.7975,738.668,0.75,4.032,3.024,0.425,10,dec_8x8_v0.7_t25_20260715_121306
5nm,hp,TT,0,0.7,25,8,16,1,0.01339,0.0188,0.005933,1.08e-05,2.027,0.02678,0.01611,1.58955,1495.367,0.75,4.032,3.024,0.425,10,dec_8x16_v0.7_t25_20260715_121600
5nm,hp,TT,0,0.7,25,8,32,1,0.014165,0.019575,0.005933,1.08e-05,2.035,0.03463,0.02834,3.15538,3008.763,0.75,4.032,3.024,0.425,10,dec_8x32_v0.7_t25_20260715_121933
5nm,hp,TT,0,0.7,25,8,64,1,0.0157,0.021115,0.005939,1.08e-05,2.053,0.05298,0.06521,6.26842,6035.556,0.75,4.032,3.024,0.425,10,dec_8x64_v0.7_t25_20260715_122432
5nm,hp,TT,0,0.7,25,16,4,1,0.02111,0.030695,0.007955,1.634e-05,2.021,0.02116,0.008701,0.40125,360.319,0.8,6.384,5.1072,0.4145,10,dec_16x4_v0.7_t25_20260715_122712
5nm,hp,TT,-0.1,0.6,25,16,8,1,0.01475,0.022,0.005803,1.181e-05,2.029,0.02881,0.01268,0.79743,738.668,0.85,6.384,5.4264,0.3901,10,dec_16x8_v0.6_t25_20260715_171603
5nm,hp,TT,-0.1,0.6,85,16,8,1,0.01652,0.023695,0.00726,0.0001671,2.027,0.02697,0.01198,0.79743,738.668,0.85,6.384,5.4264,0.3901,10,dec_16x8_v0.6_t85_20260715_171755
5nm,hp,TT,-0.05,0.65,25,16,8,1,0.01735,0.02592,0.006829,1.43e-05,2.026,0.02554,0.01169,0.79743,738.668,0.85,6.384,5.4264,0.3901,10,dec_16x8_v0.65_t25_20260715_171635
5nm,hp,TT,-0.05,0.65,85,16,8,1,0.01946,0.027965,0.008528,0.0001906,2.024,0.0243,0.01118,0.79743,738.668,0.85,6.384,5.4264,0.3901,10,dec_16x8_v0.65_t85_20260715_171821
5nm,hp,TT,0,0.7,25,16,8,1,0.020225,0.03024,0.00796,1.695e-05,2.023,0.02311,0.01104,0.79743,738.668,0.85,6.384,5.4264,0.3901,10,dec_16x8_v0.7_t25_20260715_123003
5nm,hp,TT,0,0.7,85,16,8,1,0.022705,0.032695,0.009919,0.000217,2.022,0.02228,0.01051,0.79743,738.668,0.85,6.384,5.4264,0.3901,10,dec_16x8_v0.7_t85_20260715_171848
5nm,hp,TT,0.05,0.75,25,16,8,1,0.023385,0.034995,0.009227,1.905e-05,2.021,0.02123,0.01036,0.79743,738.668,0.85,6.384,5.4264,0.3901,10,dec_16x8_v0.75_t25_20260715_171702
5nm,hp,TT,0.05,0.75,85,16,8,1,0.02628,0.037925,0.01147,0.0002511,2.021,0.02071,0.01004,0.79743,738.668,0.85,6.384,5.4264,0.3901,10,dec_16x8_v0.75_t85_20260715_171916
5nm,hp,TT,0.1,0.8,25,16,8,1,0.026845,0.040205,0.01053,2.792e-05,2.02,0.01976,0.009811,0.79743,738.668,0.85,6.384,5.4264,0.3901,10,dec_16x8_v0.8_t25_20260715_171729
5nm,hp,TT,0.1,0.8,85,16,8,1,0.0302,0.043645,0.01312,0.0002838,2.019,0.01945,0.009695,0.79743,738.668,0.85,6.384,5.4264,0.3901,10,dec_16x8_v0.8_t85_20260715_171944
5nm,hp,TT,0,0.7,25,16,16,1,0.01749,0.027485,0.00798,1.889e-05,2.027,0.02717,0.01645,1.58941,1495.367,0.85,6.384,5.4264,0.4211,10,dec_16x16_v0.7_t25_20260715_123337
5nm,hp,TT,0,0.7,25,16,32,1,0.018265,0.02827,0.00798,1.889e-05,2.035,0.03506,0.0288,3.15515,3008.763,0.85,6.384,5.4264,0.4211,10,dec_16x32_v0.7_t25_20260715_123817
5nm,hp,TT,0,0.7,25,16,64,1,0.019805,0.029795,0.00798,1.889e-05,2.054,0.0536,0.0658,6.2681,6035.556,0.85,6.384,5.4264,0.4211,10,dec_16x64_v0.7_t25_20260715_124541
5nm,hp,TT,0,0.7,25,32,4,1,0.020505,0.042505,0.01011,3.801e-05,2.017,0.01671,0.008697,0.40124,360.319,1.45,10.752,15.5904,0.3098,10,dec_32x4_v0.7_t25_20260715_124850
5nm,hp,TT,0,0.7,25,32,8,1,0.02067,0.04372,0.0101,3.735e-05,2.018,0.01839,0.0104,0.79739,738.668,1.45,10.752,15.5904,0.3087,10,dec_32x8_v0.7_t25_20260715_125213
5nm,hp,TT,0,0.7,25,32,16,1,0.02107,0.044175,0.0101,3.812e-05,2.023,0.02268,0.01568,1.58933,1495.367,1.45,10.752,15.5904,0.3087,10,dec_32x16_v0.7_t25_20260715_125648
5nm,hp,TT,0,0.7,25,32,32,1,0.021825,0.044505,0.01011,3.745e-05,2.029,0.02929,0.02841,3.15503,3008.763,1.45,10.752,15.5904,0.3087,10,dec_32x32_v0.7_t25_20260715_130418
5nm,hp,TT,0,0.7,25,32,64,1,0.023365,0.045325,0.01011,3.832e-05,2.049,0.04889,0.06703,6.26793,6035.556,1.45,10.752,15.5904,0.3098,10,dec_32x64_v0.7_t25_20260715_131127
5nm,hp,TT,0,0.7,25,64,4,1,0.038065,0.072445,0.01245,6.657e-05,2.077,0.07659,0.01192,0.40122,360.319,2.75,20.664,56.826,0.1497,10,dec_64x4_v0.7_t25_20260715_131509
5nm,hp,TT,0,0.7,25,64,8,1,0.038215,0.07276,0.01245,6.675e-05,2.077,0.07679,0.01239,0.79736,738.668,2.75,20.664,56.826,0.1499,10,dec_64x8_v0.7_t25_20260715_132018
5nm,hp,TT,-0.1,0.6,25,64,16,1,0.027965,0.053025,0.009088,4.29e-05,2.102,0.102,0.02067,1.58925,1495.367,2.75,20.664,56.826,0.15,10,dec_64x16_v0.6_t25_20260715_172318
5nm,hp,TT,-0.1,0.6,85,64,16,1,0.03459,0.05999,0.01477,0.0006619,2.09,0.08994,0.01945,1.58925,1495.367,2.75,20.664,56.826,0.15,10,dec_64x16_v0.6_t85_20260715_174012
5nm,hp,TT,-0.05,0.65,25,64,16,1,0.032995,0.062595,0.01068,5.155e-05,2.089,0.08889,0.01902,1.58925,1495.367,2.75,20.664,56.826,0.15,10,dec_64x16_v0.65_t25_20260715_172717
5nm,hp,TT,-0.05,0.65,85,64,16,1,0.040675,0.07083,0.01724,0.0007594,2.081,0.08055,0.01831,1.58925,1495.367,2.75,20.664,56.826,0.15,10,dec_64x16_v0.65_t85_20260715_174411
5nm,hp,TT,0,0.7,25,64,16,1,0.03852,0.07315,0.01245,6.711e-05,2.08,0.07967,0.01796,1.58925,1495.367,2.75,20.664,56.826,0.15,10,dec_64x16_v0.7_t25_20260715_132802
5nm,hp,TT,0,0.7,85,64,16,1,0.04737,0.08281,0.01998,0.0008677,2.074,0.07378,0.01752,1.58925,1495.367,2.75,20.664,56.826,0.15,10,dec_64x16_v0.7_t85_20260715_174819
5nm,hp,TT,0.05,0.75,25,64,16,1,0.04457,0.08475,0.01437,8.302e-05,2.073,0.07286,0.01711,1.58925,1495.367,2.75,20.664,56.826,0.15,10,dec_64x16_v0.75_t25_20260715_173143
5nm,hp,TT,0.05,0.75,85,64,16,1,0.05472,0.09602,0.02299,0.0009867,2.069,0.06867,0.01689,1.58925,1495.367,2.75,20.664,56.826,0.15,10,dec_64x16_v0.75_t85_20260715_175225
5nm,hp,TT,0.1,0.8,25,64,16,1,0.051205,0.0975,0.01652,0.0001042,2.068,0.06776,0.01639,1.58925,1495.367,2.75,20.664,56.826,0.15,10,dec_64x16_v0.8_t25_20260715_173601
5nm,hp,TT,0.1,0.8,85,64,16,1,0.06278,0.11055,0.02626,0.001118,2.065,0.06478,0.01647,1.58925,1495.367,2.75,20.664,56.826,0.15,10,dec_64x16_v0.8_t85_20260715_175650
5nm,hp,TT,0,0.7,25,64,32,1,0.03931,0.0737,0.01243,6.639e-05,2.088,0.08802,0.03195,3.15484,3008.763,2.75,20.664,56.826,0.1497,10,dec_64x32_v0.7_t25_20260715_133524
5nm,hp,TT,0,0.7,25,64,64,1,0.040905,0.075385,0.01243,6.624e-05,2.108,0.1077,0.0706,6.26766,6035.556,2.75,20.664,56.826,0.1494,10,dec_64x64_v0.7_t25_20260715_134710
5nm,hp,TT,0,0.7,25,128,4,1,0.0679,0.12695,0.01516,0.0001249,2.084,0.08402,0.01572,0.40104,360.319,5.35,40.32,215.712,0.0742,10,dec_128x4_v0.7_t25_20260715_135205
5nm,hp,TT,0,0.7,25,128,8,1,0.06479,0.1245,0.01514,0.000125,2.067,0.06743,0.01789,0.79733,738.668,5.35,40.32,215.712,0.0741,10,dec_128x8_v0.7_t25_20260715_140003
5nm,hp,TT,0,0.7,25,128,16,1,0.06612,0.12585,0.01503,0.0001219,2.03,0.03024,0.02182,1.58921,1495.367,5.35,40.32,215.712,0.0742,10,dec_128x16_v0.7_t25_20260715_140805
5nm,hp,TT,0,0.7,25,128,32,1,0.065305,0.1233,0.01512,0.0001227,2.082,0.08219,0.03413,3.15477,3008.763,5.35,40.32,215.712,0.0739,10,dec_128x32_v0.7_t25_20260715_142126
5nm,hp,TT,0,0.7,25,128,64,1,0.067145,0.1269,0.01514,0.0001249,2.102,0.1018,0.07621,6.26751,6035.556,5.35,40.32,215.712,0.0739,10,dec_128x64_v0.7_t25_20260715_144302
5nm,hp,TT,0,0.7,25,256,4,1,0.1223,0.2315,0.01863,0.000238,2.089,0.08867,0.02805,0.4012,360.319,10.4,79.8,829.92,0.0368,10,dec_256x4_v0.7_t25_20260715_145234
5nm,hp,TT,0,0.7,25,256,8,1,0.1231,0.2328,0.01838,0.0002318,2.146,0.1457,0.03872,0.79731,738.668,10.35,79.8,825.93,0.037,10,dec_256x8_v0.7_t25_20260715_150540
5nm,hp,TT,0,0.7,25,256,16,1,0.12185,0.23115,0.01848,0.0002326,2.097,0.09663,0.03682,1.58912,1495.367,10.4,79.8,829.92,0.0368,10,dec_256x16_v0.7_t25_20260715_152413
5nm,hp,TT,-0.1,0.6,25,256,32,1,0.087925,0.16745,0.01356,0.0001536,2.105,0.1047,0.06184,3.15477,3008.763,10.35,79.8,825.93,0.037,10,dec_256x32_v0.6_t25_20260715_180841
5nm,hp,TT,-0.1,0.6,85,256,32,1,0.1107,0.1918,0.03337,0.002273,2.093,0.09302,0.05689,3.15477,3008.763,10.35,79.8,825.93,0.037,10,dec_256x32_v0.6_t85_20260715_191126
5nm,hp,TT,-0.05,0.65,25,256,32,1,0.10385,0.1978,0.01597,0.0001908,2.093,0.09263,0.05661,3.15477,3008.763,10.35,79.8,825.93,0.037,10,dec_256x32_v0.65_t25_20260715_182412
5nm,hp,TT,-0.05,0.65,85,256,32,1,0.12995,0.226,0.03871,0.002612,2.084,0.08417,0.0536,3.15477,3008.763,10.35,79.8,825.93,0.037,10,dec_256x32_v0.65_t85_20260715_192551
5nm,hp,TT,0,0.7,25,256,32,1,0.12125,0.23105,0.01864,0.0002377,2.084,0.08393,0.05304,3.15477,3008.763,10.35,79.8,825.93,0.037,10,dec_256x32_v0.7_t25_20260715_154855
5nm,hp,TT,0,0.7,85,256,32,1,0.15115,0.26355,0.04464,0.002984,2.078,0.07768,0.05117,3.15477,3008.763,10.35,79.8,825.93,0.037,10,dec_256x32_v0.7_t85_20260715_194042
5nm,hp,TT,0.05,0.75,25,256,32,1,0.1402,0.2673,0.02161,0.0002962,2.077,0.07738,0.05047,3.15477,3008.763,10.35,79.8,825.93,0.037,10,dec_256x32_v0.75_t25_20260715_184014
5nm,hp,TT,0.05,0.75,85,256,32,1,0.1743,0.3046,0.05117,0.003401,2.073,0.07264,0.04945,3.15477,3008.763,10.35,79.8,825.93,0.037,10,dec_256x32_v0.75_t85_20260715_195640
5nm,hp,TT,0.1,0.8,25,256,32,1,0.16085,0.30675,0.02495,0.0003682,2.072,0.07233,0.04858,3.15477,3008.763,10.35,79.8,825.93,0.037,10,dec_256x32_v0.8_t25_20260715_185632
5nm,hp,TT,0.1,0.8,85,256,32,1,0.19935,0.34925,0.05839,0.00386,2.069,0.06876,0.04813,3.15477,3008.763,10.35,79.8,825.93,0.037,10,dec_256x32_v0.8_t85_20260715_201303
5nm,hp,TT,0,0.7,25,512,4,1,0.23345,0.4475,0.02357,0.000459,2.148,0.1483,0.06111,0.4012,360.319,20.35,158.76,3230.766,0.0185,10,dec_512x4_v0.7_t25_20260715_160108
5nm,hp,TT,0,0.7,25,512,8,1,0.23655,0.4517,0.0289,0.0004592,2.049,0.04929,0.05334,0.7973,738.668,20.35,158.76,3230.766,0.0186,10,dec_512x8_v0.7_t25_20260715_162605
5nm,hp,TT,0,0.7,25,512,16,1,0.2321,0.4465,0.02354,0.0004554,2.104,0.1043,0.06886,1.58912,1495.367,20.35,158.76,3230.766,0.0185,10,dec_512x16_v0.7_t25_20260715_170237
