# SRAM dataset sweep — agreed plan (2026-07-15).
# Model scenario: no column mux, no mid-wordline buffering -> NPUWattch
# composes macros from single-array tiles (own decoder each); depth via
# banking, idle banks modeled from leak_power_mW.
#   grid   : rows {8..512} x cols {4..64}, cell cap rows*cols <= 8192
#            (32 configs/node, nominal PVT, toggle 1.0)
#   PVT    : on 16x8 / 64x16 / 256x32 only — voffsets +/-0.05, +/-0.10 @25C
#            and all five voltages @85C (27 rows/node)
#   toggle : 0.5 spot check on the same three configs (3 rows/node)
# 62 rows/node x 5 nodes = 310 jobs. Run jobs_pilot.csv FIRST to time the
# 8192-cell worst case per node before committing to the full batch.
node,rows,cols,wd,toggle_rate,vdd_V,temp_C,pex
10,256,32,,1.0,0.7,,1
10,256,32,,1.0,0.75,,1
10,256,32,,1.0,0.85,,1
10,256,32,,1.0,0.9,,1
10,256,32,,1.0,0.7,85,1
10,256,32,,1.0,0.75,85,1
10,256,32,,1.0,,85,1
10,256,32,,1.0,0.85,85,1
10,256,32,,1.0,0.9,85,1
10,16,8,,0.5,,,1
10,64,16,,0.5,,,1
10,256,32,,0.5,,,1
7,8,4,,1.0,,,1
7,8,8,,1.0,,,1
7,8,16,,1.0,,,1
7,8,32,,1.0,,,1
7,8,64,,1.0,,,1
7,16,4,,1.0,,,1
7,16,8,,1.0,,,1
7,16,16,,1.0,,,1
7,16,32,,1.0,,,1
7,16,64,,1.0,,,1
7,32,4,,1.0,,,1
7,32,8,,1.0,,,1
7,32,16,,1.0,,,1
7,32,32,,1.0,,,1
7,32,64,,1.0,,,1
7,64,4,,1.0,,,1
7,64,8,,1.0,,,1
7,64,16,,1.0,,,1
7,64,32,,1.0,,,1
7,64,64,,1.0,,,1
7,128,4,,1.0,,,1
7,128,8,,1.0,,,1
7,128,16,,1.0,,,1
7,128,32,,1.0,,,1
7,128,64,,1.0,,,1
7,256,4,,1.0,,,1
7,256,8,,1.0,,,1
7,256,16,,1.0,,,1
7,256,32,,1.0,,,1
7,512,4,,1.0,,,1
7,512,8,,1.0,,,1
7,512,16,,1.0,,,1
7,16,8,,1.0,0.65,,1
7,16,8,,1.0,0.7,,1
7,16,8,,1.0,0.8,,1
7,16,8,,1.0,0.85,,1
7,16,8,,1.0,0.65,85,1
7,16,8,,1.0,0.7,85,1
7,16,8,,1.0,,85,1
7,16,8,,1.0,0.8,85,1
7,16,8,,1.0,0.85,85,1
7,64,16,,1.0,0.65,,1
7,64,16,,1.0,0.7,,1
7,64,16,,1.0,0.8,,1
7,64,16,,1.0,0.85,,1
7,64,16,,1.0,0.65,85,1
7,64,16,,1.0,0.7,85,1
7,64,16,,1.0,,85,1
7,64,16,,1.0,0.8,85,1
7,64,16,,1.0,0.85,85,1
7,256,32,,1.0,0.65,,1
7,256,32,,1.0,0.7,,1
7,256,32,,1.0,0.8,,1
7,256,32,,1.0,0.85,,1
7,256,32,,1.0,0.65,85,1
7,256,32,,1.0,0.7,85,1
7,256,32,,1.0,,85,1
7,256,32,,1.0,0.8,85,1
7,256,32,,1.0,0.85,85,1
7,16,8,,0.5,,,1
7,64,16,,0.5,,,1
7,256,32,,0.5,,,1
5,8,4,,1.0,,,1
5,8,8,,1.0,,,1
5,8,16,,1.0,,,1
5,8,32,,1.0,,,1
5,8,64,,1.0,,,1
5,16,4,,1.0,,,1
5,16,8,,1.0,,,1
5,16,16,,1.0,,,1
5,16,32,,1.0,,,1
5,16,64,,1.0,,,1
5,32,4,,1.0,,,1
5,32,8,,1.0,,,1
5,32,16,,1.0,,,1
5,32,32,,1.0,,,1
5,32,64,,1.0,,,1
5,64,4,,1.0,,,1
5,64,8,,1.0,,,1
5,64,16,,1.0,,,1
5,64,32,,1.0,,,1
5,64,64,,1.0,,,1
5,128,4,,1.0,,,1
5,128,8,,1.0,,,1
5,128,16,,1.0,,,1
5,128,32,,1.0,,,1
5,128,64,,1.0,,,1
5,256,4,,1.0,,,1
5,256,8,,1.0,,,1
5,256,16,,1.0,,,1
5,256,32,,1.0,,,1
5,512,4,,1.0,,,1
5,512,8,,1.0,,,1
5,512,16,,1.0,,,1
5,16,8,,1.0,0.6,,1
5,16,8,,1.0,0.65,,1
5,16,8,,1.0,0.75,,1
5,16,8,,1.0,0.8,,1
5,16,8,,1.0,0.6,85,1
5,16,8,,1.0,0.65,85,1
5,16,8,,1.0,,85,1
5,16,8,,1.0,0.75,85,1
5,16,8,,1.0,0.8,85,1
5,64,16,,1.0,0.6,,1
5,64,16,,1.0,0.65,,1
5,64,16,,1.0,0.75,,1
5,64,16,,1.0,0.8,,1
5,64,16,,1.0,0.6,85,1
5,64,16,,1.0,0.65,85,1
5,64,16,,1.0,,85,1
5,64,16,,1.0,0.75,85,1
5,64,16,,1.0,0.8,85,1
5,256,32,,1.0,0.6,,1
5,256,32,,1.0,0.65,,1
5,256,32,,1.0,0.75,,1
5,256,32,,1.0,0.8,,1
5,256,32,,1.0,0.6,85,1
5,256,32,,1.0,0.65,85,1
5,256,32,,1.0,,85,1
5,256,32,,1.0,0.75,85,1
5,256,32,,1.0,0.8,85,1
5,16,8,,0.5,,,1
5,64,16,,0.5,,,1
5,256,32,,0.5,,,1
