rtl_name	arch_params	node	status	crit_path_ns	slack_ns	crit_in2reg_ns	crit_reg2reg_ns	crit_reg2out_ns	crit_in2out_ns	message
intmac	a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=2	7	ok	0.39	-0.11	0.1	0.39	0.07		
intmul	a_width=16;b_width=8;out_width=24;pipeline_stages=5	20	ok	0.86	-0.59	0.53	0.86	0.64		
intmul	a_width=32;b_width=16;out_width=48;pipeline_stages=5	10	ok	0.53	-0.25	0.23	0.53	0.36		
intmul	a_width=32;b_width=16;out_width=48;pipeline_stages=2	16	ok	1.15	-0.87	0.85	1.15	0.67		
intmul	a_width=32;b_width=16;out_width=48;pipeline_stages=2	20	ok	1.67	-1.40	1.16	1.67	0.83		
intmac	a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=3	7	ok	0.35	-0.07	0.11	0.35	0.07		
intmac	a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=2	10	ok	0.46	-0.18	0.1	0.46	0.08		
intmac	a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=5	5	ok	0.30	-0.02	0.09	0.3	0.07		
intmul	a_width=32;b_width=16;out_width=48;pipeline_stages=5	16	ok	0.90	-0.64	0.39	0.9	0.59		
intmac	a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=5	7	ok	0.29	-0.01	0.1	0.29	0.07		
intmac	a_width=6;b_width=6;out_width=20;acc_width=20;pipeline_stages=2	7	ok	0.47	-0.19	0.14	0.47	0.07		
intmac	a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=2	20	ok	1.19	-0.93	0.23	1.19	0.21		
intmac	a_width=6;b_width=6;out_width=20;acc_width=20;pipeline_stages=2	5	ok	0.45	-0.17	0.16	0.45	0.07		
intmul	a_width=32;b_width=16;out_width=48;pipeline_stages=5	20	ok	1.29	-1.02	0.54	1.29	0.89		
intmac	a_width=6;b_width=6;out_width=20;acc_width=20;pipeline_stages=3	5	ok	0.43	-0.15	0.15	0.43	0.26		
intmac	a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=2	16	ok	0.82	-0.56	0.2	0.82	0.15		
intmac	a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=3	10	ok	0.41	-0.13	0.14	0.41	0.09		
intmac	a_width=6;b_width=6;out_width=20;acc_width=20;pipeline_stages=5	5	ok	0.28	0.00	0.13	0.28	0.06		
intmac	a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=3	20	ok	1.04	-0.78	0.23	1.04	0.24		
intmac	a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=3	16	ok	0.73	-0.46	0.16	0.73	0.16		
intmac	a_width=6;b_width=6;out_width=20;acc_width=20;pipeline_stages=2	10	ok	0.55	-0.26	0.17	0.55	0.08		
intmac	a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=5	10	ok	0.34	-0.06	0.12	0.34	0.09		
intmac	a_width=6;b_width=6;out_width=20;acc_width=20;pipeline_stages=3	7	ok	0.44	-0.16	0.13	0.44	0.07		
intmac	a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=5	16	ok	0.60	-0.34	0.16	0.6	0.17		
intmac	a_width=6;b_width=6;out_width=20;acc_width=20;pipeline_stages=5	7	ok	0.28	0.00	0.15	0.28	0.07		
intmac	a_width=4;b_width=4;out_width=16;acc_width=16;pipeline_stages=5	20	ok	0.86	-0.60	0.23	0.86	0.26		
intmac	a_width=6;b_width=6;out_width=20;acc_width=20;pipeline_stages=3	10	ok	0.53	-0.25	0.16	0.53	0.08		
intmac	a_width=8;b_width=8;out_width=24;acc_width=24;pipeline_stages=2	5	ok	0.49	-0.21	0.18	0.49	0.27		
intmac	a_width=6;b_width=6;out_width=20;acc_width=20;pipeline_stages=2	16	ok	0.95	-0.68	0.21	0.95	0.15		
intmac	a_width=8;b_width=8;out_width=24;acc_width=24;pipeline_stages=2	7	ok	0.49	-0.21	0.17	0.49	0.07		
intmac	a_width=6;b_width=6;out_width=20;acc_width=20;pipeline_stages=2	20	ok	1.38	-1.09	0.27	1.38	0.21		
intmac	a_width=8;b_width=8;out_width=24;acc_width=24;pipeline_stages=3	7	ok	0.50	-0.22	0.17	0.5	0.07		
intmac	a_width=8;b_width=8;out_width=24;acc_width=24;pipeline_stages=3	5	ok	0.50	-0.22	0.18	0.5	0.26		
intmac	a_width=6;b_width=6;out_width=20;acc_width=20;pipeline_stages=3	20	ok	1.31	-1.05	0.31	1.31	0.82		
intmac	a_width=8;b_width=8;out_width=24;acc_width=24;pipeline_stages=5	5	ok	0.40	-0.12	0.18	0.4	0.07		
intmac	a_width=6;b_width=6;out_width=20;acc_width=20;pipeline_stages=5	10	ok	0.28	0.00	0.17	0.28	0.09		
intmac	a_width=6;b_width=6;out_width=20;acc_width=20;pipeline_stages=3	16	ok	0.87	-0.60	0.21	0.87	0.16		
intmac	a_width=6;b_width=6;out_width=20;acc_width=20;pipeline_stages=5	16	ok	0.49	-0.22	0.25	0.49	0.15		
intmac	a_width=8;b_width=8;out_width=32;acc_width=32;pipeline_stages=2	5	ok	0.51	-0.23	0.18	0.51	0.06		
intmac	a_width=6;b_width=6;out_width=20;acc_width=20;pipeline_stages=5	20	ok	0.70	-0.43	0.27	0.7	0.25		
intmac	a_width=8;b_width=8;out_width=24;acc_width=24;pipeline_stages=2	10	ok	0.60	-0.32	0.23	0.6	0.08		
intmac	a_width=8;b_width=8;out_width=24;acc_width=24;pipeline_stages=5	7	ok	0.39	-0.11	0.16	0.39	0.08		
intmac	a_width=8;b_width=8;out_width=24;acc_width=24;pipeline_stages=3	10	ok	0.62	-0.34	0.23	0.62	0.09		
intmac	a_width=8;b_width=8;out_width=24;acc_width=24;pipeline_stages=2	16	ok	1.01	-0.74	0.38	1.01	0.15		
intmac	a_width=8;b_width=8;out_width=32;acc_width=32;pipeline_stages=2	7	ok	0.51	-0.23	0.17	0.51	0.07		
intmac	a_width=8;b_width=8;out_width=24;acc_width=24;pipeline_stages=2	20	ok	1.48	-1.22	0.54	1.48	0.23		
intmac	a_width=8;b_width=8;out_width=24;acc_width=24;pipeline_stages=5	10	ok	0.50	-0.22	0.23	0.5	0.09		
intmac	a_width=8;b_width=8;out_width=32;acc_width=32;pipeline_stages=3	5	ok	0.53	-0.25	0.18	0.53	0.26		
intmac	a_width=8;b_width=8;out_width=24;acc_width=24;pipeline_stages=3	16	ok	1.09	-0.82	0.38	1.09	0.52		
intmac	a_width=8;b_width=8;out_width=32;acc_width=32;pipeline_stages=3	7	ok	0.52	-0.24	0.17	0.52	0.08		
intmac	a_width=8;b_width=8;out_width=32;acc_width=32;pipeline_stages=5	7	ok	0.41	-0.12	0.16	0.41	0.07		
intmac	a_width=8;b_width=8;out_width=32;acc_width=32;pipeline_stages=5	5	ok	0.40	-0.12	0.18	0.4	0.08		
intmac	a_width=8;b_width=8;out_width=24;acc_width=24;pipeline_stages=5	20	ok	1.13	-0.87	0.54	1.13	0.22		
intmac	a_width=8;b_width=8;out_width=24;acc_width=24;pipeline_stages=3	20	ok	1.46	-1.20	0.55	1.46	0.79		
intmac	a_width=12;b_width=12;out_width=32;acc_width=32;pipeline_stages=2	5	ok	0.55	-0.27	0.29	0.55	0.07		
intmac	a_width=8;b_width=8;out_width=32;acc_width=32;pipeline_stages=2	16	ok	1.04	-0.77	0.38	1.04	0.15		
intmac	a_width=8;b_width=8;out_width=32;acc_width=32;pipeline_stages=2	20	ok	1.54	-1.25	0.55	1.54	0.22		
intmac	a_width=8;b_width=8;out_width=32;acc_width=32;pipeline_stages=2	10	ok	0.63	-0.35	0.23	0.63	0.33		
intmac	a_width=8;b_width=8;out_width=24;acc_width=24;pipeline_stages=5	16	ok	0.82	-0.55	0.38	0.82	0.17		
intmac	a_width=12;b_width=12;out_width=32;acc_width=32;pipeline_stages=3	5	ok	0.62	-0.34	0.3	0.62	0.28		
intmac	a_width=8;b_width=8;out_width=32;acc_width=32;pipeline_stages=3	10	ok	0.64	-0.35	0.23	0.64	0.09		
intmac	a_width=8;b_width=8;out_width=32;acc_width=32;pipeline_stages=5	10	ok	0.48	-0.20	0.23	0.48	0.09		
intmac	a_width=12;b_width=12;out_width=32;acc_width=32;pipeline_stages=2	7	ok	0.55	-0.27	0.29	0.55	0.07		
intmac	a_width=8;b_width=8;out_width=32;acc_width=32;pipeline_stages=3	16	ok	1.09	-0.82	0.38	1.09	0.16		
intmac	a_width=12;b_width=12;out_width=32;acc_width=32;pipeline_stages=3	7	ok	0.59	-0.31	0.29	0.59	0.07		
intmac	a_width=12;b_width=12;out_width=32;acc_width=32;pipeline_stages=2	10	ok	0.68	-0.40	0.34	0.68	0.33		
intmac	a_width=8;b_width=8;out_width=32;acc_width=32;pipeline_stages=3	20	ok	1.47	-1.20	0.55	1.47	0.23		
intmac	a_width=8;b_width=8;out_width=32;acc_width=32;pipeline_stages=5	16	ok	0.84	-0.55	0.38	0.84	0.18		
intmac	a_width=12;b_width=12;out_width=32;acc_width=32;pipeline_stages=5	5	ok	0.49	-0.21	0.29	0.49	0.06		
intmac	a_width=12;b_width=12;out_width=32;acc_width=32;pipeline_stages=5	7	ok	0.49	-0.21	0.29	0.49	0.07		
intmac	a_width=16;b_width=16;out_width=40;acc_width=40;pipeline_stages=2	7	ok	0.60	-0.31	0.4	0.6	0.29		
intmac	a_width=16;b_width=16;out_width=40;acc_width=40;pipeline_stages=2	5	ok	0.61	-0.33	0.4	0.61	0.07		
intmac	a_width=12;b_width=12;out_width=32;acc_width=32;pipeline_stages=2	20	ok	1.68	-1.42	0.86	1.68	0.23		
intmac	a_width=8;b_width=8;out_width=32;acc_width=32;pipeline_stages=5	20	ok	1.17	-0.91	0.54	1.17	0.26		
intmac	a_width=16;b_width=16;out_width=40;acc_width=40;pipeline_stages=3	5	ok	0.67	-0.38	0.4	0.67	0.07		
intmac	a_width=12;b_width=12;out_width=32;acc_width=32;pipeline_stages=2	16	ok	1.16	-0.90	0.6	1.16	0.14		
intmac	a_width=12;b_width=12;out_width=32;acc_width=32;pipeline_stages=3	20	ok	1.75	-1.49	0.86	1.75	0.7		
intmac	a_width=12;b_width=12;out_width=32;acc_width=32;pipeline_stages=3	16	ok	1.26	-0.98	0.6	1.26	0.15		
intmac	a_width=12;b_width=12;out_width=32;acc_width=32;pipeline_stages=5	10	ok	0.59	-0.30	0.35	0.59	0.09		
intmac	a_width=16;b_width=16;out_width=40;acc_width=40;pipeline_stages=5	5	ok	0.60	-0.31	0.4	0.6	0.29		
intmac	a_width=12;b_width=12;out_width=32;acc_width=32;pipeline_stages=3	10	ok	0.73	-0.44	0.35	0.73	0.09		
intmac	a_width=12;b_width=12;out_width=32;acc_width=32;pipeline_stages=5	16	ok	1.02	-0.75	0.6	1.02	0.15		
intmac	a_width=16;b_width=16;out_width=40;acc_width=40;pipeline_stages=2	10	ok	0.72	-0.44	0.47	0.72	0.08		
intmac	a_width=16;b_width=16;out_width=40;acc_width=40;pipeline_stages=3	7	ok	0.66	-0.38	0.4	0.66	0.07		
intmac	a_width=12;b_width=12;out_width=32;acc_width=32;pipeline_stages=5	20	ok	1.44	-1.18	0.85	1.44	0.22		
intmac	a_width=16;b_width=16;out_width=40;acc_width=40;pipeline_stages=5	7	ok	0.58	-0.29	0.4	0.58	0.07		
intmac	a_width=16;b_width=16;out_width=40;acc_width=40;pipeline_stages=3	10	ok	0.79	-0.50	0.47	0.79	0.09		
intmac	a_width=16;b_width=16;out_width=40;acc_width=40;pipeline_stages=2	16	ok	1.22	-0.96	0.82	1.22	0.15		
intmac	a_width=16;b_width=16;out_width=48;acc_width=48;pipeline_stages=2	5	ok	0.61	-0.33	0.4	0.61	0.06		
intmac	a_width=16;b_width=16;out_width=48;acc_width=48;pipeline_stages=2	7	ok	0.60	-0.32	0.4	0.6	0.07		
intmac	a_width=16;b_width=16;out_width=40;acc_width=40;pipeline_stages=2	20	ok	1.85	-1.58	1.16	1.85	0.22		
intmac	a_width=16;b_width=16;out_width=40;acc_width=40;pipeline_stages=3	20	ok	1.95	-1.69	1.16	1.95	0.24		
intmac	a_width=16;b_width=16;out_width=48;acc_width=48;pipeline_stages=3	7	ok	0.68	-0.40	0.4	0.68	0.07		
intmac	a_width=16;b_width=16;out_width=48;acc_width=48;pipeline_stages=3	5	ok	0.68	-0.40	0.4	0.68	0.27		
intmac	a_width=16;b_width=16;out_width=48;acc_width=48;pipeline_stages=5	5	ok	0.59	-0.31	0.4	0.59	0.28		
intmac	a_width=16;b_width=16;out_width=40;acc_width=40;pipeline_stages=3	16	ok	1.38	-1.11	0.82	1.38	0.15		
intmac	a_width=16;b_width=16;out_width=40;acc_width=40;pipeline_stages=5	20	ok	1.64	-1.38	1.16	1.64	0.27		
intmac	a_width=16;b_width=16;out_width=40;acc_width=40;pipeline_stages=5	16	ok	1.15	-0.86	0.83	1.15	0.17		
intmac	a_width=16;b_width=16;out_width=40;acc_width=40;pipeline_stages=5	10	ok	0.67	-0.39	0.47	0.67	0.09		
intmac	a_width=16;b_width=16;out_width=48;acc_width=48;pipeline_stages=2	10	ok	0.75	-0.46	0.47	0.75	0.08		
intmac	a_width=24;b_width=24;out_width=56;acc_width=56;pipeline_stages=2	5	ok	0.66	-0.38	0.21	0.66	0.06		
intmac	a_width=16;b_width=16;out_width=48;acc_width=48;pipeline_stages=3	10	ok	0.81	-0.53	0.48	0.81	0.09		
intmac	a_width=16;b_width=16;out_width=48;acc_width=48;pipeline_stages=2	16	ok	1.24	-0.98	0.82	1.24	0.15		
intmac	a_width=16;b_width=16;out_width=48;acc_width=48;pipeline_stages=5	7	ok	0.58	-0.30	0.4	0.58	0.07		
intmac	a_width=16;b_width=16;out_width=48;acc_width=48;pipeline_stages=2	20	ok	1.85	-1.58	1.16	1.85	0.22		
intmac	a_width=16;b_width=16;out_width=48;acc_width=48;pipeline_stages=5	10	ok	0.68	-0.39	0.47	0.68	0.09		
intmac	a_width=24;b_width=24;out_width=56;acc_width=56;pipeline_stages=2	7	ok	0.67	-0.39	0.19	0.67	0.07		
intmac	a_width=24;b_width=24;out_width=56;acc_width=56;pipeline_stages=3	5	ok	0.75	-0.47	0.61	0.75	0.27		
intmac	a_width=16;b_width=16;out_width=48;acc_width=48;pipeline_stages=3	16	ok	1.40	-1.11	0.82	1.4	0.16		
intmac	a_width=24;b_width=24;out_width=56;acc_width=56;pipeline_stages=3	7	ok	0.75	-0.46	0.62	0.75	0.31		
intmac	a_width=16;b_width=16;out_width=48;acc_width=48;pipeline_stages=5	20	ok	1.71	-1.45	1.16	1.71	0.23		
intmac	a_width=16;b_width=16;out_width=48;acc_width=48;pipeline_stages=3	20	ok	1.99	-1.73	1.16	1.99	0.24		
intmac	a_width=24;b_width=24;out_width=56;acc_width=56;pipeline_stages=5	7	ok	0.66	-0.37	0.2	0.66	0.07		
intmac	a_width=24;b_width=24;out_width=56;acc_width=56;pipeline_stages=5	5	ok	0.64	-0.36	0.21	0.64	0.07		
intmac	a_width=16;b_width=16;out_width=48;acc_width=48;pipeline_stages=5	16	ok	1.17	-0.89	0.82	1.17	0.17		
intmac	a_width=32;b_width=32;out_width=72;acc_width=72;pipeline_stages=2	5	ok	0.71	-0.43	0.22	0.71	0.06		
intmac	a_width=24;b_width=24;out_width=56;acc_width=56;pipeline_stages=2	16	ok	1.38	-1.12	1.24	1.38	0.15		
intmac	a_width=24;b_width=24;out_width=56;acc_width=56;pipeline_stages=2	20	ok	2.03	-1.76	1.77	2.03	0.23		
intmac	a_width=24;b_width=24;out_width=56;acc_width=56;pipeline_stages=2	10	ok	0.81	-0.53	0.72	0.81	0.08		
intmac	a_width=24;b_width=24;out_width=56;acc_width=56;pipeline_stages=3	16	ok	1.57	-1.29	1.26	1.57	0.51		
intmac	a_width=24;b_width=24;out_width=56;acc_width=56;pipeline_stages=3	10	ok	0.90	-0.62	0.73	0.9	0.32		
intmac	a_width=32;b_width=32;out_width=72;acc_width=72;pipeline_stages=2	7	ok	0.72	-0.44	0.22	0.72	0.07		
intmac	a_width=32;b_width=32;out_width=72;acc_width=72;pipeline_stages=3	5	ok	0.81	-0.53	0.22	0.81	0.27		
intmac	a_width=24;b_width=24;out_width=56;acc_width=56;pipeline_stages=5	10	ok	0.79	-0.51	0.72	0.79	0.09		
intmac	a_width=24;b_width=24;out_width=56;acc_width=56;pipeline_stages=3	20	ok	2.19	-1.93	1.77	2.19	0.27		
intmac	a_width=32;b_width=32;out_width=72;acc_width=72;pipeline_stages=2	10	ok	0.88	-0.59	0.24	0.88	0.08		
intmac	a_width=24;b_width=24;out_width=56;acc_width=56;pipeline_stages=5	16	ok	1.36	-1.09	1.24	1.36	0.16		
intmac	a_width=32;b_width=32;out_width=72;acc_width=72;pipeline_stages=5	5	ok	0.72	-0.44	0.22	0.72	0.27		
intmac	a_width=32;b_width=32;out_width=72;acc_width=72;pipeline_stages=3	7	ok	0.80	-0.52	0.23	0.8	0.07		
intmac	a_width=24;b_width=24;out_width=56;acc_width=56;pipeline_stages=5	20	ok	1.90	-1.64	1.76	1.9	0.22		
intmac	a_width=32;b_width=32;out_width=72;acc_width=72;pipeline_stages=5	7	ok	0.72	-0.44	0.23	0.72	0.07		
intmac	a_width=32;b_width=32;out_width=80;acc_width=80;pipeline_stages=2	7	ok	0.73	-0.44	0.22	0.73	0.07		
intmac	a_width=32;b_width=32;out_width=80;acc_width=80;pipeline_stages=2	5	ok	0.72	-0.44	0.22	0.72	0.06		
intmac	a_width=32;b_width=32;out_width=72;acc_width=72;pipeline_stages=2	20	ok	2.14	-1.88	0.54	2.14	0.7		
intmac	a_width=32;b_width=32;out_width=72;acc_width=72;pipeline_stages=2	16	ok	1.52	-1.25	0.35	1.52	0.15		
intmac	a_width=32;b_width=32;out_width=80;acc_width=80;pipeline_stages=3	5	ok	0.81	-0.52	0.22	0.81	0.27		
intmac	a_width=32;b_width=32;out_width=72;acc_width=72;pipeline_stages=3	16	ok	1.68	-1.39	0.35	1.68	0.16		
intmac	a_width=32;b_width=32;out_width=72;acc_width=72;pipeline_stages=3	20	ok	2.40	-2.14	0.56	2.4	0.23		
intmac	a_width=32;b_width=32;out_width=72;acc_width=72;pipeline_stages=5	16	ok	1.51	-1.25	0.36	1.51	0.51		
intmac	a_width=32;b_width=32;out_width=72;acc_width=72;pipeline_stages=3	10	ok	0.98	-0.69	0.23	0.98	0.33		
intmac	a_width=32;b_width=32;out_width=72;acc_width=72;pipeline_stages=5	20	ok	2.16	-1.87	0.56	2.16	0.24		
intmac	a_width=32;b_width=32;out_width=72;acc_width=72;pipeline_stages=5	10	ok	0.88	-0.59	0.23	0.88	0.09		
intmac	a_width=32;b_width=32;out_width=80;acc_width=80;pipeline_stages=5	5	ok	0.71	-0.43	0.22	0.71	0.28		
intmac	a_width=32;b_width=32;out_width=80;acc_width=80;pipeline_stages=2	10	ok	0.89	-0.60	0.23	0.89	0.33		
intmac	a_width=32;b_width=32;out_width=80;acc_width=80;pipeline_stages=3	7	ok	0.80	-0.51	0.23	0.8	0.07		
intmac	a_width=32;b_width=32;out_width=80;acc_width=80;pipeline_stages=2	16	ok	1.51	-1.24	0.36	1.51	0.53		
intmac	a_width=32;b_width=32;out_width=80;acc_width=80;pipeline_stages=5	7	ok	0.73	-0.45	0.23	0.73	0.07		
intmac	a_width=32;b_width=32;out_width=80;acc_width=80;pipeline_stages=3	10	ok	0.97	-0.68	0.24	0.97	0.09		
intmac	a_width=48;b_width=48;out_width=104;acc_width=104;pipeline_stages=2	5	ok	0.80	-0.51	0.27	0.8	0.07		
intmac	a_width=32;b_width=32;out_width=80;acc_width=80;pipeline_stages=2	20	ok	2.15	-1.89	0.49	2.15	0.24		
intmac	a_width=48;b_width=48;out_width=104;acc_width=104;pipeline_stages=2	7	ok	0.81	-0.53	0.22	0.81	0.07		
intmac	a_width=48;b_width=48;out_width=104;acc_width=104;pipeline_stages=3	7	ok	0.90	-0.62	0.22	0.9	0.29		
intmac	a_width=48;b_width=48;out_width=104;acc_width=104;pipeline_stages=3	5	ok	0.89	-0.61	0.27	0.89	0.27		
intmac	a_width=32;b_width=32;out_width=80;acc_width=80;pipeline_stages=3	20	ok	2.36	-2.10	0.56	2.36	0.23		
intmac	a_width=32;b_width=32;out_width=80;acc_width=80;pipeline_stages=3	16	ok	1.68	-1.41	0.36	1.68	0.16		
intmac	a_width=48;b_width=48;out_width=104;acc_width=104;pipeline_stages=5	5	ok	0.82	-0.54	0.27	0.82	0.07		
intmac	a_width=32;b_width=32;out_width=80;acc_width=80;pipeline_stages=5	16	ok	1.52	-1.25	0.36	1.52	0.17		
intmac	a_width=32;b_width=32;out_width=80;acc_width=80;pipeline_stages=5	10	ok	0.88	-0.60	0.23	0.88	0.09		
intmac	a_width=32;b_width=32;out_width=80;acc_width=80;pipeline_stages=5	20	ok	2.19	-1.90	0.53	2.19	0.76		
intmac	a_width=48;b_width=48;out_width=104;acc_width=104;pipeline_stages=2	16	ok	1.67	-1.40	0.4	1.67	0.53		
intmac	a_width=48;b_width=48;out_width=104;acc_width=104;pipeline_stages=5	7	ok	0.81	-0.53	0.22	0.81	0.31		
intmac	a_width=48;b_width=48;out_width=104;acc_width=104;pipeline_stages=2	10	ok	0.98	-0.69	0.23	0.98	0.33		
intmac	a_width=48;b_width=48;out_width=104;acc_width=104;pipeline_stages=3	10	ok	1.07	-0.79	0.27	1.07	0.09		
intmac	a_width=48;b_width=48;out_width=104;acc_width=104;pipeline_stages=2	20	ok	2.39	-2.13	0.61	2.39	0.23		
intmac	a_width=48;b_width=48;out_width=104;acc_width=104;pipeline_stages=5	10	ok	0.98	-0.70	0.26	0.98	0.09		
intmac	a_width=48;b_width=48;out_width=104;acc_width=104;pipeline_stages=3	16	ok	1.87	-1.60	0.42	1.87	0.16		
intmac	a_width=64;b_width=64;out_width=128;acc_width=128;pipeline_stages=2	5	ok	0.81	-0.53	0.29	0.81	0.06		
intmac	a_width=64;b_width=64;out_width=128;acc_width=128;pipeline_stages=2	7	ok	0.80	-0.52	0.24	0.8	0.07		
intmac	a_width=8;b_width=4;out_width=28;acc_width=28;pipeline_stages=2	5	ok	0.46	-0.17	0.18	0.46	0.06		
intmac	a_width=48;b_width=48;out_width=104;acc_width=104;pipeline_stages=3	20	ok	2.68	-2.39	0.56	2.68	0.23		
intmac	a_width=64;b_width=64;out_width=128;acc_width=128;pipeline_stages=3	7	ok	0.82	-0.53	0.23	0.82	0.08		
intmac	a_width=48;b_width=48;out_width=104;acc_width=104;pipeline_stages=5	20	ok	2.43	-2.15	0.61	2.43	0.24		
intmac	a_width=8;b_width=4;out_width=28;acc_width=28;pipeline_stages=2	7	ok	0.45	-0.17	0.17	0.45	0.07		
intmac	a_width=64;b_width=64;out_width=128;acc_width=128;pipeline_stages=3	5	ok	0.82	-0.53	0.29	0.82	0.29		
intmac	a_width=48;b_width=48;out_width=104;acc_width=104;pipeline_stages=5	16	ok	1.66	-1.40	0.42	1.66	0.17		
intmac	a_width=64;b_width=64;out_width=128;acc_width=128;pipeline_stages=5	5	ok	0.76	-0.48	0.24	0.76	0.29		
intmac	a_width=8;b_width=4;out_width=28;acc_width=28;pipeline_stages=2	10	ok	0.55	-0.27	0.23	0.55	0.08		
intmac	a_width=64;b_width=64;out_width=128;acc_width=128;pipeline_stages=5	7	ok	0.73	-0.45	0.22	0.73	0.08		
intmac	a_width=8;b_width=4;out_width=28;acc_width=28;pipeline_stages=5	5	ok	0.34	-0.06	0.16	0.34	0.08		
intmac	a_width=8;b_width=4;out_width=28;acc_width=28;pipeline_stages=5	7	ok	0.35	-0.07	0.15	0.35	0.07		
intmac	a_width=16;b_width=4;out_width=36;acc_width=36;pipeline_stages=2	5	ok	0.48	-0.20	0.22	0.48	0.06		
intmac	a_width=64;b_width=64;out_width=128;acc_width=128;pipeline_stages=2	16	ok	1.69	-1.42	0.42	1.69	0.15		
intmac	a_width=16;b_width=4;out_width=36;acc_width=36;pipeline_stages=5	7	ok	0.42	-0.13	0.21	0.42	0.07		
intmac	a_width=8;b_width=4;out_width=28;acc_width=28;pipeline_stages=2	20	ok	1.21	-0.95	0.54	1.21	0.22		
intmac	a_width=64;b_width=64;out_width=128;acc_width=128;pipeline_stages=2	10	ok	1.00	-0.71	0.24	1	0.09		
intmac	a_width=8;b_width=4;out_width=28;acc_width=28;pipeline_stages=2	16	ok	0.94	-0.67	0.38	0.94	0.15		
intmac	a_width=64;b_width=64;out_width=128;acc_width=128;pipeline_stages=2	20	ok	2.43	-2.17	0.59	2.43	0.22		
intmac	a_width=16;b_width=4;out_width=36;acc_width=36;pipeline_stages=2	7	ok	0.50	-0.22	0.4	0.5	0.07		
intmac	a_width=16;b_width=4;out_width=36;acc_width=36;pipeline_stages=5	5	ok	0.42	-0.13	0.22	0.42	0.07		
intmac	a_width=64;b_width=64;out_width=128;acc_width=128;pipeline_stages=3	16	ok	1.73	-1.46	0.47	1.73	0.18		
intmac	a_width=16;b_width=8;out_width=40;acc_width=40;pipeline_stages=2	5	ok	0.54	-0.26	0.4	0.54	0.06		
intmac	a_width=8;b_width=4;out_width=28;acc_width=28;pipeline_stages=5	10	ok	0.42	-0.14	0.23	0.42	0.08		
intmac	a_width=64;b_width=64;out_width=128;acc_width=128;pipeline_stages=5	10	ok	0.92	-0.63	0.26	0.92	0.1		
intmac	a_width=64;b_width=64;out_width=128;acc_width=128;pipeline_stages=5	16	ok	1.56	-1.30	0.44	1.56	0.16		
intmac	a_width=16;b_width=8;out_width=40;acc_width=40;pipeline_stages=2	7	ok	0.55	-0.27	0.4	0.55	0.29		
intmac	a_width=64;b_width=64;out_width=128;acc_width=128;pipeline_stages=3	20	ok	2.49	-2.23	0.63	2.49	0.26		
intmac	a_width=16;b_width=8;out_width=40;acc_width=40;pipeline_stages=5	7	ok	0.48	-0.19	0.2	0.48	0.07		
intmac	a_width=16;b_width=8;out_width=40;acc_width=40;pipeline_stages=5	5	ok	0.47	-0.19	0.22	0.47	0.07		
intmac	a_width=64;b_width=64;out_width=128;acc_width=128;pipeline_stages=3	10	ok	1.00	-0.71	0.26	1	0.09		
intmac	a_width=64;b_width=64;out_width=128;acc_width=128;pipeline_stages=5	20	ok	2.25	-1.98	0.6	2.25	0.8		
intmac	a_width=32;b_width=16;out_width=64;acc_width=64;pipeline_stages=2	5	ok	0.65	-0.37	0.4	0.65	0.06		
intmac	a_width=8;b_width=4;out_width=28;acc_width=28;pipeline_stages=5	16	ok	0.73	-0.46	0.38	0.73	0.19		
intmac	a_width=16;b_width=4;out_width=36;acc_width=36;pipeline_stages=2	20	ok	1.44	-1.18	1.15	1.44	0.22		
intmac	a_width=16;b_width=4;out_width=36;acc_width=36;pipeline_stages=2	16	ok	1.02	-0.75	0.81	1.02	0.15		
intmac	a_width=16;b_width=4;out_width=36;acc_width=36;pipeline_stages=2	10	ok	0.58	-0.30	0.48	0.58	0.08		
intmac	a_width=8;b_width=4;out_width=28;acc_width=28;pipeline_stages=5	20	ok	1.00	-0.72	0.54	1	0.28		
intmac	a_width=32;b_width=16;out_width=64;acc_width=64;pipeline_stages=2	7	ok	0.66	-0.38	0.4	0.66	0.07		
intmac	a_width=16;b_width=4;out_width=36;acc_width=36;pipeline_stages=5	16	ok	0.84	-0.57	0.3	0.84	0.15		
intmac	a_width=32;b_width=16;out_width=64;acc_width=64;pipeline_stages=5	7	ok	0.63	-0.35	0.4	0.63	0.08		
fpadd	exp_bits=4;mantissa_bits=3;pipeline_stages=2	5	ok	0.59	-0.31	0.02	0.59	0.24		
intmac	a_width=16;b_width=8;out_width=40;acc_width=40;pipeline_stages=2	16	ok	1.13	-0.87	0.81	1.13	0.15		
