run_id	stage	error
mxfpmac_32_2_bf16_10nm_TT_0V8_25C_235p294MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.37) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_4_mxfp8_e5m2_2_20nm_TT_0V9_25C_97p561MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: clk slack -0.56) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_64_2_mxfp8_e4m3_16nm_TT_0V85_25C_125MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.46) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_8_mxfp4_e2m1_10nm_TT_0V8_25C_200MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -1.2) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_2_mxfp8_e5m2_2_10nm_TT_0V8_25C_222p222MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: clk slack -0.36) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_64_2_mxfp6_e3m2_16nm_TT_0V85_25C_129p032MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.48) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_64_2_mxfp6_e3m2_16nm_TT_0V85_25C_76p9231MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.86) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_8_mxfp4_e2m1_5nm_TT_0V7_25C_250MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.44) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_4_mxfp8_e4m3_2_20nm_TT_0V9_25C_97p561MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: clk slack -0.7) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_8_mxfp4_e2m1_16nm_TT_0V85_25C_125MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.82) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_2_bf16_16nm_TT_0V85_25C_148p148MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.31) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_1_mxfp8_e4m3_2_16nm_TT_0V85_25C_153p846MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: clk slack -0.31) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_4_mxint8_2_10nm_TT_0V8_25C_363p636MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: clk slack -0.4) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_64_2_mxfp8_e5m2_2_10nm_TT_0V8_25C_333p333MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: clk slack -0.37) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_64_2_mxfp8_e4m3_2_20nm_TT_0V9_25C_97p561MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: clk slack -0.47) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_4_mxfp4_e2m1_5nm_TT_0V7_25C_266p667MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.34) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_8_mxfp4_e2m1_5nm_TT_0V7_25C_250MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.41) -- the job clock is not achievable; gen-jobs should derive a slower one
mxfpmac_32_4_mxfp4_e2m1_5nm_TT_0V7_25C_266p667MHz	pnr-timing	RuntimeError: post-PnR setup timing violated beyond the sim margin (threshold -0.3: **in2reg_default** slack -0.34) -- the job clock is not achievable; gen-jobs should derive a slower one
